Character	Stories
Man-Thing	The Man-Thing movie prequel concludes with a horrific showdown with Man-Thing as you’ve never seen it before! Check out an incar
Man-Thing	The Man-Thing Stalks the Swamp!
Man-Thing	Six Months Later...
Man-Thing	Swamped
Man-Thing	What if...The Man-Thing had Regained Ted  Sallis' Brain?
Man-Thing	Elements of Terror Part 1
Man-Thing	Freedom Fighters [Elements of Terror]
Man-Thing	Perception & Actuality [Elements of Terror]
Man-Thing	Elements of Terror
Man-Thing	Cover #23095
Man-Thing	Behold The Man-Thing
Man-Thing	Cover #23101
Man-Thing	Behold The Man-Thing Part 2
Man-Thing	Cover #23107
Man-Thing	Behold The Man-Thing Part 3
Man-Thing	Cover #23113
Man-Thing	Behold The Man-Thing Conclusion
Man-Thing	First Witness [Elements of Terror]
Black Widow (Ultimate)	4 of 5 - Magnetic North
Black Widow (Ultimate)	[untitled]
Black Widow (Ultimate)	[untitled]
Black Widow (Ultimate)	Interior #39348
Black Widow (Ultimate)	Interior #39354
Black Widow (Ultimate)	Interior #39357
Moon Knight (Ultimate)	2 of 6 - Warriors
Black Knight	3 of 3
Black Knight	Cover #11876
Black Knight	Where Walk the Villains!
Black Knight	Cover #11900
Black Knight	Chaos in the Courtroom
Black Knight	Bloodties Part 1: Reckoning
Black Knight	Some Say the World Will End in Fire, Some Say in Ice
Black Knight	The Monarch and the Man-Ape
Black Knight	Summons From the Stars!
Black Knight	Ye Olde Shelle Game
Black Knight	Betrayal
Black Knight	Masters of Evil
Black Knight	Bad Judgment
Black Knight	Bare Bones
Black Knight	...Inquistition
Black Knight	Cover #22240
Black Knight	The Carbon Copy Avengers
Black Knight	Tying the Knot
Black Knight	Sands of Time
Black Knight	Earth X Chapter Twelve
Titania	1 of 3 - Titania
Titania	Blood and Bionics
Titania	The Deadlier of the Species!
Titania	Interior #64737
Titania	Deadpool (1997) #40
Titania	Avengers Academy (2010) #18
Titania	Interior #80990
Titania	Interior #80992
Titania	Fear Itself: The Worthy #3
Titania	Cover #38452
Titania	FEAR ITSELF: THE WORTHY #1
Titania	Thor (1998) #27
Titania	Avengers Academy (2010) #21
Titania	Deadpool (1997) #38
Titania	Deadpool (1997) #41
Titania	Deadpool (1997) #42
Titania	Deadpool (1997) #43
Titania	Deadpool (1997) #44
Titania	Deadpool (1997) #45
Cypher	Cover #81031
Cypher	Cover #89149
Cypher	Cover #91137
Cypher	New Mutants #25 X-Man Variant
Cypher	Interior #93786
Cypher	Interior #94610
Cypher	New Mutants (2009) #31
Nico Minoru	1 of 6 - In with the New
Nico Minoru	6 of 6 - True Believers
Nico Minoru	2 of 4 - Return of the Pride
Nico Minoru	5 of 5 - Parental Guidance
Nico Minoru	Dead End Kids 3 of 6
Nico Minoru	Interior #53571
Atlas (Team)	6 of 6 - One Step Forward
Atlas (Team)	6 of 6 - Reflections
Atlas (Team)	The Grandeur and the Glory
Atlas (Team)	Cover #37343
Atlas (Team)	Old Entanglements
Atlas (Team)	Behind the Masque!
Atlas (Team)	Tainted Love
Atlas (Team)	The Nefaria Protocols
Zzzax	Interior #82130
Zzzax	Interior #90817
Zzzax	Incredible Hulks (2009) #602, SHS VARIANT
Night Thrasher	6 of 6
Night Thrasher	Thor (1966) #411
Night Thrasher	Thor (1966) #412
Night Thrasher	2 of 5; THE INITIATIVE BANNER; Annihilation Conquest Insert
Night Thrasher	3 of 5; THE INITIATIVE BANNER
Night Thrasher	4 of 5; THE INITIATIVE BANNER
Night Thrasher	Cover #37345
Night Thrasher	Lords & Leaders
Night Thrasher	Child's Play Part 1: First Move With a Roll of the Dice
Night Thrasher	Child's Play Part 3: Rules Were Made to Be Broken
Night Thrasher	2 of 6
Night Thrasher	King of Pain
Doctor Octopus	Cover #1018
Doctor Octopus	Interior #1019
Doctor Octopus	As poisonous radiation courses through his bloodstream, a vicious Doctor Octopus cracks the secret of Spider-Man and prepares fo
Doctor Octopus	The Long-awaited Return of Doctor Octopus!
Doctor Octopus	Cover #13570
Doctor Octopus	Cover #13610
Doctor Octopus	Interior #13668
Doctor Octopus	Cover #13670
Doctor Octopus	Cover #13672
Doctor Octopus	Cover #13993
Doctor Octopus	Man on a Rampage!
Doctor Octopus	The Final Chapter!
Doctor Octopus	Interior #14328
Doctor Octopus	The Tentacles and the Trap!
Doctor Octopus	Doc Ock Wins!
Doctor Octopus	Doc Ock Wins!
Doctor Octopus	Cover #14334
Doctor Octopus	Disaster!
Doctor Octopus	Doc Ock Lives!
Doctor Octopus	Doc Ock Lives!
Sasquatch (Walter Langkowski)	4 of 4 - Days of Future Present Past Participle
Sasquatch (Walter Langkowski)	2 of 4 - 4XLS
Sasquatch (Walter Langkowski)	Day of the Dark Side!
Sasquatch (Walter Langkowski)	Chaos in Canada!
Sasquatch (Walter Langkowski)	Alpha Flight Attacks!
Sasquatch (Walter Langkowski)	Shoot-Out at the Stampede!
Sasquatch (Walter Langkowski)	Weirdsong of the Wen-Di-Go
Sasquatch (Walter Langkowski)	Alpha Flight (1983) #1
Sasquatch (Walter Langkowski)	Tundra!
Sasquatch (Walter Langkowski)	Cover #21098
Sasquatch (Walter Langkowski)	Blood Battle
Sasquatch (Walter Langkowski)	Alpha Flight #12
Sasquatch (Walter Langkowski)	Bare Bones
Sasquatch (Walter Langkowski)	Weapon Omega vs. Himself?!
Sasquatch (Walter Langkowski)	Bare Bones Part II
Sasquatch (Walter Langkowski)	And One Shall Surely Die !
Sasquatch (Walter Langkowski)	And One Shall Surely Die
Sasquatch (Walter Langkowski)	Alpha Flight #127
Sasquatch (Walter Langkowski)	Faith!
Sasquatch (Walter Langkowski)	The Perfect World
Spider-Man (Miles Morales)	Interior #61155
Spider-Man (Miles Morales)	Ultimate Comics Spider-Man (2011) #1
Spider-Man (Miles Morales)	Ultimate Comics Spider-Man (2011) #3
Spider-Man (Miles Morales)	Ultimate Comics Spider-Man (2011) #4
Spider-Man (Miles Morales)	Ultimate Comics Spider-Man (2011) #1
Spider-Man (Miles Morales)	Cover #94651
Spider-Man (Miles Morales)	Ultimate Comics Spider-Man (2011) #2 cover
Spider-Man (Miles Morales)	ULTIMATE COMICS THE ULTIMATES #6 story
Spider-Man (Miles Morales)	Ultimate Comics Spider-Man (2011) #4 - Int
Spider-Man (Miles Morales)	Cover #95914
Spider-Man (Miles Morales)	Interior #95915
Spider-Man (Miles Morales)	Cover #95936
Spider-Man (Miles Morales)	Interior #95937
Spider-Man (Miles Morales)	Cover #95938
Spider-Man (Miles Morales)	Interior #95939
Spider-Man (Miles Morales)	Cover #95940
Spider-Man (Miles Morales)	Cover #95992
Spider-Man (Miles Morales)	Cover #95994
Spider-Man (Miles Morales)	Cover #95996
Spider-Man (Miles Morales)	Cover #95998
Mandarin	All About Iron Man
Mandarin	Here Lies Hidden..the Unspeakable Ultimo!
Mandarin	Crescendo!
Mandarin	Death Duel for the Life of Happy Hogan!
Mandarin	Ten Rings Hath the Mandarin!
Mandarin	Ten Rings Hath the Mandarin
Mandarin	Monster Triumphant!
Mandarin	Monster Triumphant!
Mandarin	At Last I Will Have my Revenge!
Mandarin	Cover #19524
Mandarin	Dragon Doom!
Mandarin	Interior #19591
Mandarin	Strike!
Mandarin	Cover #23137
Mandarin	Broken Pillars
Mandarin	Cover #28021
Mandarin	Cover #28025
Mandarin	At Last I Will Have My Revenge!
Mandarin	At Last I Will Have My Revenge!
Mandarin	Two More Giant-Size Summer Specials!
Lilandra	1 of 12 - Rise and Fall of the Shi-AR Empire
Lilandra	The Search for Reed Richards
Lilandra	The Trial of Reed Richards
Lilandra	Who Will Stop the Juggernaut?
Lilandra	The Gentleman's Name is Magneto
Lilandra	Phoenix Unleashed!
Lilandra	Home are the Heroes!
Lilandra	Showdown!
Lilandra	Desolation
Lilandra	Psi War!
Lilandra	The Submergence of Japan
Lilandra	Cry For The Children!
Lilandra	There's Something Awful On Muir Island!
Lilandra	Dark Phoenix
Lilandra	Child of Light and Darkness!
Lilandra	The Fate of the Phoenix!
Lilandra	Merry Christmas, X-Men...
Lilandra	Scavenger Hunt
Lilandra	The Adventures of Lockheed the Space Dragon and His Pet Girl, Kitty
Lilandra	Judgement Day
Bushwacker	4 of 5 - Breakout!
Bushwacker	Kiss and Kill
Bushwacker	Go Get 'Im Boys !
Bushwacker	Previously in Daredevil
Bushwacker	Art Imitates Death
Bushwacker	Vengeance Belongs to Bushwacker!
Whirlwind	Cover #14586
Whirlwind	Avengers (1963) #54 cover
Whirlwind	...And Deliver Us from - - the Masters of Evil!
Whirlwind	Come On In, The Revolution's Fine
Whirlwind	Night Vision!
Whirlwind	[untitled]
Whirlwind	Double Shots
Whirlwind	History Repeats
Whirlwind	Misperceptions
Whirlwind	Bring Me the Head of the Hulk!
Whirlwind	Cover #34095
Whirlwind	Inherit the Whirlwind
Whirlwind	Too Many Avengers!
Whirlwind	Down Among the Dead Men!
Whirlwind	Shadowplay
Whirlwind	Shadowbox
Whirlwind	Night Vision!
Whirlwind	Interior #90286
Hemingway	Cover #28163
Hemingway	Generation Of Evil
Cerebro	The Return of the Blob
Cerebro	Meltdown (The Hunt For Xavier Part One)
Cerebro	When You're Unwanted (The Hunt For Xavier Part Three)
Cerebro	The Hunt For Xavier Part 5
Cerebro	The Uncanny X-Men
Cerebro	Escape From Alcatraz (The Hunt For Xavier Part Five)
Cerebro	The Hunt for Xavier: The Conclusion
Count Nefaria	Where Walk the Villains!
Count Nefaria	If A Man Be Mad!
Count Nefaria	Cover #15491
Count Nefaria	Cover #15690
Count Nefaria	Night of the Demon!
Count Nefaria	Where Walk the Villains!
Count Nefaria	If A Man Be Mad!
Count Nefaria	Captain America (1998) #29
Count Nefaria	Captain America (1998) #30
Count Nefaria	Interior #89682
Count Nefaria	Interior #89684
Silvermane	Cover #13717
Silvermane	And Who Shall Stand Against Them?
Silvermane	Cover #14376
Silvermane	Death Without Warning!
Silvermane	Cover #15760
Silvermane	The Hunted Part 3
Silvermane	The Great Cloak and Dagger Hunt!
Silvermane	And so it Begins...
Silvermane	The Vegas Idea
Silvermane	Hot Chrome and Cold Blood
Orphan	Cover #38200
Orphan	Mister Sensitive
Orphan	Cover #38202
Orphan	And Then There Were Six
Orphan	Cover #38204
Orphan	What's One Life?
Orphan	Snikt!
Orphan	Cover #38210
Orphan	Lacuna: Part One: Captain Coconut
Orphan	Cover #38212
Orphan	Lacuna: Part Two: Larry King Has the Flu
Orphan	Cover #38214
Orphan	Tick Tock
Orphan	Edie and Guy Finally Do It
Orphan	Cover #38219
Orphan	One of Us
Orphan	As I Die Lying
Orphan	Cover #38223
Orphan	Because Louise
Orphan	Cover #38225
Freak	Freakout 2 of 3
Freak	1 of 1
Freak	1 of 1
Freak	Amazing Spider-Man (1999) #644, BACHALO VARIANT
Freak	Amazing Spider-Man (1999) #645, SPIDEY VS. VARIANT
Nightmare	The World Beyond
Nightmare	Thor (1966) #452
Nightmare	Sleep My Child, And Peace Attend Thee All Through the Night
Nightmare	Sleepwalker
Nightmare	New Year's Evil
Nightmare	Cover #22447
Nightmare	Preludes & Nightmares!
Nightmare	Awakenings
Nightmare	Fangu Lives!
Nightmare	Dark Matters
Nightmare	Cover #32776
Nightmare	Final Matters
Nightmare	pin-up
Nightmare	The Believer
Nightmare	Love is the Spell.  The Spell is Death!
Nightmare	TBOTV: Legends and Lore of the Dark Dimension, Part 1
Nightmare	TBOTV: A Gathering of Fear, Part 1
Nightmare	TBOTV: A Gathering of Fear, Part 2
Nightmare	TBOTV:A Gathering of Fear, Part 3
Nightmare	Fear Itself  [The Great Fear, Part 1 of 3]
Quicksilver (Ultimate)	6 of 6 - Grand Theft America
Quicksilver (Ultimate)	6 of 6 - Grand Theft America
Quicksilver (Ultimate)	Return of the King: Prelude
Quicksilver (Ultimate)	Hellfire and Brimstone Part 2
Quicksilver (Ultimate)	The Tomorrow People Part 2
Quicksilver (Ultimate)	Return To Weapon X Part Six
Quicksilver (Ultimate)	The Tomorrow People
Quicksilver (Ultimate)	The Tomorrow People Part 3
Quicksilver (Ultimate)	Previously ...
Quicksilver (Ultimate)	Sex, Lies, and DVDs 1 of 5
Quicksilver (Ultimate)	Sex, Lies, and DVDs 1 of 5
Quicksilver (Ultimate)	Interior #39348
Quicksilver (Ultimate)	Interior #39351
Quicksilver (Ultimate)	Cover #84563
Quicksilver (Ultimate)	Interior #90694
Quicksilver (Ultimate)	Interior #90837
Sabra	Current Events
Sabra	With Friends Like These...
Sabra	The Shot Heard Round The World (The Magneto War Part One)
Sabra	Prelude to Destruction
Sabra	The End of Days
Sabra	Heart of the Matter
Sabra	Operation Zero Tolerance: The Conclusion
Sabra	Last Exit
Sabra	Identity Crisis !
Sabra	Ambient Magnetic Fields
Sabra	Cover #31624
Sabra	Fruits of the Wound
Hepzibah	1 of 12 - Rise and Fall of the Shi-AR Empire
Hepzibah	Beginning the Incredible Saga of -- the Starjammers !
Hepzibah	Where No X-Man Has Gone Before!
Hepzibah	Armageddon Now !
Hepzibah	Home are the Heroes!
Hepzibah	Death in Venice
Hepzibah	Crimes of War
Hepzibah	Facades
Hepzibah	Enter The Starjammers!
Hepzibah	Pursuit!
Hepzibah	Hide-'N'-Seek!
Hepzibah	The Life That Late I Led...
Hepzibah	Gold Rush!
Hepzibah	Live Free Or Die
Hepzibah	The Goldilocks Syndrome (Or: Who's Been Sleeping In My Head?)
Hepzibah	Romances
Hepzibah	Phoenix
Hepzibah	The Trial of Magneto
Hepzibah	Duel
Hepzibah	Crossroads
Dark Avengers	Interior #51391
Dark Avengers	Interior #52383
Dark Avengers	2 of 6
Dark Avengers	3 of 6
Dark Avengers	Interior #52857
Dark Avengers	Interior #53257
Dark Avengers	4 of 6
Dark Avengers	5 of 6
Dark Avengers	Interior #53665
Dark Avengers	4XLS 2 of 4
Dark Avengers	Amazing Spider-Man (1999) #596 - Int
Dark Avengers	Amazing Spider-Man (1999) #597
Dark Avengers	Amazing Spider-Man (1999) #597 - Int
Dark Avengers	Interior #54830
Dark Avengers	Interior #54832
Dark Avengers	Interior #54834
Dark Avengers	Interior #54836
Dark Avengers	Interior #54838
Dark Avengers	Interior #54840
Dark Avengers	Interior #54842
Blazing Skull	1 of 1
Blackheart	Introducing--The Macabre Menace of Blackheart !
Blackheart	Afterlife
Blackheart	Temptation
Blackheart	Interior #81145
Quasar (Wendell Vaughn)	Annihilation: Nova (2006) #3
Quasar (Wendell Vaughn)	Captain America (1998) #3
Quasar (Wendell Vaughn)	ANNIHILATORS 2 
Quasar (Wendell Vaughn)	Interior From The Thanos Imperative: Devestation (2010) #1
Quasar (Wendell Vaughn)	ANNIHILATORS 2 DAVIS VARIANT 
Quasar (Wendell Vaughn)	Annihilators (2010) #1, Garner Cover
Quasar (Wendell Vaughn)	Thanos Imperative HC
Quasar (Wendell Vaughn)	Annihilators: Earthfall (2011) #1
Force Works	The Conqueror
Force Works	There Shall Come an Ending
Force Works	Brothers in Arms
Force Works	[untitled]
Force Works	In The Hands of the Mandarin
Force Works	Inner Demons [In The Hands of the Mandarin]
Force Works	Cover #23143
Thor (Ultimate)	1 of 2 - Sorceror Supreme
Thor (Ultimate)	2 of 2 - Thor War
Thor (Ultimate)	6 of 6 - Grand Theft America
Thor (Ultimate)	6 of 6 - Grand Theft America
Thor (Ultimate)	
Thor (Ultimate)	Sex, Lies, and DVDs 1 of 5
Thor (Ultimate)	Sex, Lies, and DVDs 1 of 5
Thor (Ultimate)	Interior #39348
Thor (Ultimate)	The Ultimates vs. Ultimate X-Men
Thor (Ultimate)	Interior #39351
Thor (Ultimate)	Interior #39354
Thor (Ultimate)	Interior #39357
Thor (Ultimate)	Orangutans are skeptical of changes in their cages...
Thor (Ultimate)	Cover #44588
Thor (Ultimate)	Cover #75632
Thor (Ultimate)	Cover #75634
Thor (Ultimate)	Interior #75635
Thor (Ultimate)	ULTIMATE COMICS AVENGERS VS. NEW ULTIMATES 2
Thor (Ultimate)	Cover From Ultimate Comics Spider-Man (2009) #151
Thor (Ultimate)	Cover #82990
Spider-Man (Ai Apaec)	New Avengers (2010) #18 - Int
Millie the Model	Meet Miss U.S.
Millie the Model	Meet Miss U.S.
Millie the Model	Millie's Fashion Pin-Up
Millie the Model	Millie's Fanciest Frocks
Millie the Model	Chili's Classy Cut-Out
Millie the Model	Time for the Teens!
Millie the Model	Millie's Love Lesson
Millie the Model	Millie's Heavenly Hair
Millie the Model	Millie in Dreamland
Millie the Model	Millie and Chili Become Has-Beens!
Millie the Model	Marriage for Millie?
Millie the Model	When Millie Marries!
Millie the Model	Millie's Fashion Pin-Up
Millie the Model	Chili's Classy Cut-Out
Millie the Model	Time for the Teens!
Millie the Model	Millie's Heavenly Hair
Millie the Model	Pretty as a Picture
Millie the Model	Millie's Sweaters 'N Slacks
Millie the Model	Millie's Fanciest Frocks
Millie the Model	Beauty and the Beast!
Goblin Queen	Inferno
Goblin Queen	Sinister Schemes Ignite Inferno
Goblin Queen	Inferno
Goblin Queen	Inferno: A Son For The Goblin Queen!
Goblin Queen	A Villains Gallery
Goblin Queen	Ghosts In The Machine
Goblin Queen	What if Wolverine and His X-Vampires Conquered the World? (Timequake Pt. 3)
Rockslide	2 of 4 - Crusade
Rockslide	2 of 4 - Factory X
Rockslide	1 of 4 - Fortune & Glory (4XLS)
Rockslide	Messiah Complex 4 of 13
Rockslide	Messiah Complex 4 of 13
Rockslide	Interior #53571
Rockslide	Cable (2008) #22 - Int
Rockslide	Wolverine and Jubilee (2010) #4
Marvel Boy	3 of 6 - 6 XLS -
Marvel Boy	War With the New Warriors
Marvel Boy	"War With the New Warriors"
Marvel Boy	Thor (1966) #411
Marvel Boy	Thor (1966) #412
Marvel Boy	Cover #25909
Marvel Boy	Hello Cruel World
Marvel Boy	Cover #25911
Marvel Boy	Boy Vs World
Marvel Boy	Cover #25913
Marvel Boy	Digital Koncentration Kamp One
Marvel Boy	Cover #25915
Marvel Boy	Exterminatrix!
Marvel Boy	Cover #25917
Marvel Boy	Zero Zero: Year of Love
Marvel Boy	Cover #25919
Marvel Boy	Mindless: The End
Marvel Boy	1950s Avengers
Marvel Boy	Running Out of Time
Marvel Boy	Cover #26224
Ancient One	Cover #10258
Ancient One	If Kaluu Should Triumph...
Ancient One	Umar Walks the Earth!
Ancient One	This Dream---This Doom!
Ancient One	What if Wolverine had Become Lord of the Vampires?
Ancient One	TBOTV:The Curse of the Darkhold Part V, The Torch is Passed
Ancient One	TBOTV:Legends and Lore of the Dark Dimension, Part 2
Ancient One	TBOTV:Legends and Lore of the Dark Dimension, Part 3
Ancient One	The Alexandrain Quatrain
Ancient One	Is There a Doctor Not In The House?
Ancient One	Death's Greatest Hits
Ancient One	Strange Bedfellows II
Ancient One	From Here...To There...To Eternity
Ancient One	World Enough, And Time...
Ancient One	TBOTV: The Mordo Chronicles, Part II
Ancient One	TBOTV: The Mordo Chronicles Part III
Ancient One	Journey to the East [The Homecoming, Part One]
Ancient One	The Disciple's Tale [The Homecoming, Part Two]
Ancient One	Resurrection [The Homecoming, Part Four]
Ancient One	After Life, Part One
Spot	Flesh and Stone
Spot	FF and Mayor JJJ 1 of 2
Spot	Amazing Spider-Man (1999) #645, SPIDEY VS. VARIANT
Mother Askani	Family Secrets
Mother Askani	Lost Souls
Mother Askani	"What Was...What Is..."
Mother Askani	Fathers and Sons Act One: Sunset Breaks
Mother Askani	Fathers and Sons Act 2: Illuminated Knights
Mother Askani	Fathers and Sons Part 3: Dayspring
Wind Dancer	3 of 5; THE INITIATIVE BANNER
Mary Jane Watson (Ultimate)	1 of 1 - Dumped
Mary Jane Watson (Ultimate)	Growing Pains
Mary Jane Watson (Ultimate)	Powerless
Mary Jane Watson (Ultimate)	Cover #90701
Mary Jane Watson (Ultimate)	Interior #90833
Mary Jane Watson (Ultimate)	Interior #90985
Mary Jane Watson (Ultimate)	Ultimate Comics Spider-Man (2011) #4 - Int
Green Goblin (Ultimate)	Death of the Goblin 5 of 6
Diablo	The Dreaded Diablo!
Diablo	Cover #12897
Diablo	The Marvel Rage!
Diablo	To Duel With Diablo!
Diablo	Good-Bye!
Diablo	Calamity on the Campus
Diablo	When Strikes Diablo
Diablo	This Man, This Demon
Diablo	Leftovers
Diablo	[untitled]
Diablo	[Gold Logo Variant Cover]
Diablo	Shadows in the Mirror!
Diablo	[untitled]
Diablo	Day of the Dark Sun
Diablo	Above and Beyond
Diablo	Condition: Green
Diablo	Thoom
Diablo	Amazing Spider-Man (1999) #606 - Int
Diablo	Amazing Spider-Man (1999) #607 - Int
Diablo	Amazing Spider-Man (1999) #606, LBCC Variant - Int
H.A.M.M.E.R.	Avengers: The Initiative (2007) #26 - Int
H.A.M.M.E.R.	Avengers: The Initiative (2007) #27 - Int
Guardian	The Monster Among Us!
Guardian	Guardian Battles Alone!
Guardian	And One Shall Surely Die !
Guardian	No Future Part 3
Guardian	Beginning the Mystery of Marrina !
Guardian	Guardian: First of Alpha Flight
Guardian	Flashback !
Guardian	Specters
Guardian	Cover #21356
Guardian	Earth X Chapter Ten
Guardian	Alliance
Guardian	The Kiber Chronicles
Guardian	60 Minutes
Guardian	[ALPHA FLIGHT #1 Preview]
Guardian	Paradise X Issue 2
Guardian	Cover #26029
Guardian	Paradise X Chapter 4
Guardian	Paradise X Issue 6
Guardian	Paradise X Issue 7
Guardian	North & South
A.I.M.	When the Unliving Strike
A.I.M.	Cover #10255
A.I.M.	The Enemy Within!
A.I.M.	Death Before Dishonor!
A.I.M.	Cover #10261
A.I.M.	The End of A.I.M.!
A.I.M.	The Red Skull Lives!
A.I.M.	He Who Holds the Cosmic Cube
A.I.M.	The Maddening Mystery of the Inconceivable Adaptoid!
A.I.M.	If This Be... Modok
A.I.M.	A Time to Die -- A Time to Live!
A.I.M.	At the Mercy of the Maggia
A.I.M.	Look Homeward, Avenger
A.I.M.	In Sin Airy X
A.I.M.	[The Brothers Part I]
A.I.M.	The Red Skull Lives!
A.I.M.	He Who Holds the Cosmic Cube
A.I.M.	The Maddening Mystery of the Inconceivable Adaptoid!
A.I.M.	If This Be... Modok
A.I.M.	A Time to Die -- A Time to Live!
Dagger	1 of 7 - 7XLS
Dagger	Cover #5874
Dagger	Cover #5882
Dagger	Cover #30111
Dagger	Cover #30149
Dagger	Stalkers In the Shadows
Dagger	Cover #30151
Dagger	Crime and Punishment
Dagger	Cover #32751
Dagger	The Burrowers
Dagger	Cover #32753
Dagger	The Good with the Bad
Dagger	Hero for Hire
Dagger	The Long, Long Night
Dagger	Cover #32762
Dagger	Thunder Below
Dagger	The Destroyers
Dagger	Zaran
Dagger	Family and Friends
Dagger	The Reckoning
Redwing	The Summons of Psyklop
Redwing	Captain America and Falcon (2010) #1
Redwing	Heroes for Hire (2010) #1, TOLIBAO VARIANT 
Redwing	Captain America (2004) #606, HEROIC AGE VARIANT
Beyonder	If I Should Die
Beyonder	Interior #93178
Nova	1 of 6
Nova	6 of 6
Nova	1 of 5 - 5XLS
Nova	2 of 6 - Annihilation
Nova	6 of 6 - End of Story
Nova	The Trial of Reed Richards
Nova	"War With the New Warriors"
